Year,Date,Site_number,Sampling_Day,Sampling_Day_same,Sampling Time,Concentration,Drug,Conc2
2022,6/9/2022,5,2,3,After ,2307,CAF,2.307
2022,7/7/2022,5,3,4,After ,1879,CAF,1.879
2022,6/2/2022,6,0,1,Before,3019,CAF,3.019
2022,6/6/2022,6,1,2,During,588,CAF,0.588
2022,6/9/2022,6,2,3,After ,2332,CAF,2.332
2022,7/7/2022,6,3,4,After ,5065,CAF,5.065
2023,6/1/2023,1,1-Jun-23,1,Before,33.524,CAF,0.033524
2023,6/1/2023,2,1-Jun-23,1,Before,22.594,CAF,0.022594
2023,6/1/2023,3,1-Jun-23,1,Before,18.318,CAF,0.018318
2023,6/1/2023,4,1-Jun-23,1,Before,9.652,CAF,0.009652
2023,6/1/2023,5,1-Jun-23,1,Before,12.292,CAF,0.012292
2023,6/1/2023,6,1-Jun-23,1,Before,8.304,CAF,0.008304
2023,6/4/2023,1,4-Jun-23,2,During,14.398,CAF,0.014398
2023,6/4/2023,2,4-Jun-23,2,During,8.702,CAF,0.008702
2023,6/4/2023,3,4-Jun-23,2,During,20.728,CAF,0.020728
2023,6/4/2023,4,4-Jun-23,2,During,0,CAF,0
2023,6/4/2023,5,4-Jun-23,2,During,31.214,CAF,0.031214
2023,6/4/2023,6,4-Jun-23,2,During,38.002,CAF,0.038002
2023,6/7/2023,1,7-Jun-23,3,After ,6.096,CAF,0.006096
2023,6/7/2023,2,7-Jun-23,3,After ,5.964,CAF,0.005964
2023,6/7/2023,3,7-Jun-23,3,After ,6.962,CAF,0.006962
2023,6/7/2023,4,7-Jun-23,3,After ,13.364,CAF,0.013364
2023,6/7/2023,5,7-Jun-23,3,After ,10.4,CAF,0.0104
2023,6/7/2023,6,7-Jun-23,3,After ,7.06,CAF,0.00706
2023,6/29/2023,1,29-Jun-23,4,After ,5.574,CAF,0.005574
2023,6/29/2023,2,29-Jun-23,4,After ,7.452,CAF,0.007452
2023,6/29/2023,3,29-Jun-23,4,After ,5.116,CAF,0.005116
2023,6/29/2023,4,29-Jun-23,4,After ,7.082,CAF,0.007082
2023,6/29/2023,5,29-Jun-23,4,After ,6.242,CAF,0.006242
2023,6/29/2023,6,29-Jun-23,4,After ,10.612,CAF,0.010612
2021,6/1/2021,1,1,1,Before,55,TCS,0.055
2021,6/6/2021,1,2,2,During,1700,TCS,1.7
2021,6/9/2021,1,3,3,After ,50000,TCS,50
2021,6/1/2021,2,1,1,Before,1600,TCS,1.6
2021,6/6/2021,2,2,2,During,3000,TCS,3
2021,6/9/2021,2,3,3,After ,50000,TCS,50
2021,6/1/2021,3,1,1,Before,55,TCS,0.055
2021,6/6/2021,3,2,2,During,1120,TCS,1.12
2021,6/9/2021,3,3,3,After ,50000,TCS,50
2021,6/1/2021,4,1,1,Before,55,TCS,0.055
2021,6/6/2021,4,2,2,During,2260,TCS,2.26
2021,6/9/2021,4,3,3,After ,50000,TCS,50
2021,6/1/2021,5,1,1,Before,1700,TCS,1.7
2021,6/6/2021,5,2,2,During,55,TCS,0.055
2021,6/9/2021,5,3,3,After ,50000,TCS,50
2021,6/1/2021,6,1,1,Before,1470,TCS,1.47
2021,6/6/2021,6,2,2,During,2290,TCS,2.29
2021,6/9/2021,6,3,3,After ,50000,TCS,50
2022,6/2/2022,1,0,1,Before,195.5,TCS,0.1955
2022,6/6/2022,1,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,1,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,1,3,4,After ,195.5,TCS,0.1955
2022,6/2/2022,2,0,1,Before,195.5,TCS,0.1955
2022,6/6/2022,2,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,2,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,2,3,4,After ,195.5,TCS,0.1955
2022,6/2/2022,3,0,1,Before,195.5,TCS,0.1955
2022,6/6/2022,3,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,3,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,3,3,4,After ,195.5,TCS,0.1955
2022,6/2/2022,4,0,1,Before,195.5,TCS,0.1955
